"","species","entrez_id","pathway_id","pathway_name","gene_symbol"
"34","hsa","196883","path:hsa04062","Chemokine signaling pathway","ADCY4"
"35","hsa","207","path:hsa04062","Chemokine signaling pathway","AKT1"
"36","hsa","208","path:hsa04062","Chemokine signaling pathway","AKT2"
"37","hsa","2185","path:hsa04062","Chemokine signaling pathway","PTK2B"
"38","hsa","2268","path:hsa04062","Chemokine signaling pathway","FGR"
"39","hsa","2309","path:hsa04062","Chemokine signaling pathway","FOXO3"
"40","hsa","23236","path:hsa04062","Chemokine signaling pathway","PLCB1"
"41","hsa","23533","path:hsa04062","Chemokine signaling pathway","PIK3R5"
"42","hsa","25759","path:hsa04062","Chemokine signaling pathway","SHC2"
"43","hsa","2770","path:hsa04062","Chemokine signaling pathway","GNAI1"
"44","hsa","2771","path:hsa04062","Chemokine signaling pathway","GNAI2"
"45","hsa","2773","path:hsa04062","Chemokine signaling pathway","GNAI3"
"46","hsa","2776","path:hsa04062","Chemokine signaling pathway","GNAQ"
"47","hsa","2782","path:hsa04062","Chemokine signaling pathway","GNB1"
"48","hsa","2783","path:hsa04062","Chemokine signaling pathway","GNB2"
"49","hsa","2784","path:hsa04062","Chemokine signaling pathway","GNB3"
"50","hsa","2785","path:hsa04062","Chemokine signaling pathway","GNG3"
"51","hsa","2786","path:hsa04062","Chemokine signaling pathway","GNG4"
"52","hsa","2787","path:hsa04062","Chemokine signaling pathway","GNG5"
"53","hsa","2788","path:hsa04062","Chemokine signaling pathway","GNG7"
"54","hsa","2790","path:hsa04062","Chemokine signaling pathway","GNG10"
"55","hsa","2791","path:hsa04062","Chemokine signaling pathway","GNG11"
"56","hsa","2792","path:hsa04062","Chemokine signaling pathway","GNGT1"
"57","hsa","2793","path:hsa04062","Chemokine signaling pathway","GNGT2"
"58","hsa","2826","path:hsa04062","Chemokine signaling pathway","CCR10"
"59","hsa","2829","path:hsa04062","Chemokine signaling pathway","XCR1"
"60","hsa","2833","path:hsa04062","Chemokine signaling pathway","CXCR3"
"61","hsa","2868","path:hsa04062","Chemokine signaling pathway","GRK4"
"62","hsa","2869","path:hsa04062","Chemokine signaling pathway","GRK5"
"63","hsa","2870","path:hsa04062","Chemokine signaling pathway","GRK6"
"64","hsa","2885","path:hsa04062","Chemokine signaling pathway","GRB2"
"65","hsa","2919","path:hsa04062","Chemokine signaling pathway","CXCL1"
"66","hsa","2920","path:hsa04062","Chemokine signaling pathway","CXCL2"
"67","hsa","2921","path:hsa04062","Chemokine signaling pathway","CXCL3"
"68","hsa","2931","path:hsa04062","Chemokine signaling pathway","GSK3A"
"69","hsa","2932","path:hsa04062","Chemokine signaling pathway","GSK3B"
"70","hsa","3055","path:hsa04062","Chemokine signaling pathway","HCK"
"71","hsa","3265","path:hsa04062","Chemokine signaling pathway","HRAS"
"72","hsa","3551","path:hsa04062","Chemokine signaling pathway","IKBKB"
"73","hsa","3576","path:hsa04062","Chemokine signaling pathway","CXCL8"
"74","hsa","3577","path:hsa04062","Chemokine signaling pathway","CXCR1"
"75","hsa","3579","path:hsa04062","Chemokine signaling pathway","CXCR2"
"76","hsa","3627","path:hsa04062","Chemokine signaling pathway","CXCL10"
"77","hsa","3702","path:hsa04062","Chemokine signaling pathway","ITK"
"78","hsa","3717","path:hsa04062","Chemokine signaling pathway","JAK2"
"79","hsa","3718","path:hsa04062","Chemokine signaling pathway","JAK3"
"80","hsa","3845","path:hsa04062","Chemokine signaling pathway","KRAS"
"81","hsa","387","path:hsa04062","Chemokine signaling pathway","RHOA"
"82","hsa","388372","path:hsa04062","Chemokine signaling pathway","CCL4L1"
"83","hsa","399694","path:hsa04062","Chemokine signaling pathway","SHC4"
"84","hsa","4067","path:hsa04062","Chemokine signaling pathway","LYN"
"85","hsa","408","path:hsa04062","Chemokine signaling pathway","ARRB1"
"86","hsa","409","path:hsa04062","Chemokine signaling pathway","ARRB2"
"87","hsa","414062","path:hsa04062","Chemokine signaling pathway","CCL3L3"
"88","hsa","4283","path:hsa04062","Chemokine signaling pathway","CXCL9"
"89","hsa","4790","path:hsa04062","Chemokine signaling pathway","NFKB1"
"90","hsa","4792","path:hsa04062","Chemokine signaling pathway","NFKBIA"
"91","hsa","4793","path:hsa04062","Chemokine signaling pathway","NFKBIB"
"92","hsa","4893","path:hsa04062","Chemokine signaling pathway","NRAS"
"93","hsa","5058","path:hsa04062","Chemokine signaling pathway","PAK1"
"94","hsa","51764","path:hsa04062","Chemokine signaling pathway","GNG13"
"95","hsa","5196","path:hsa04062","Chemokine signaling pathway","PF4"
"96","hsa","5197","path:hsa04062","Chemokine signaling pathway","PF4V1"
"97","hsa","5290","path:hsa04062","Chemokine signaling pathway","PIK3CA"
"98","hsa","5291","path:hsa04062","Chemokine signaling pathway","PIK3CB"
"99","hsa","5293","path:hsa04062","Chemokine signaling pathway","PIK3CD"
"100","hsa","5294","path:hsa04062","Chemokine signaling pathway","PIK3CG"
"101","hsa","5295","path:hsa04062","Chemokine signaling pathway","PIK3R1"
"102","hsa","5296","path:hsa04062","Chemokine signaling pathway","PIK3R2"
"103","hsa","5330","path:hsa04062","Chemokine signaling pathway","PLCB2"
"104","hsa","5331","path:hsa04062","Chemokine signaling pathway","PLCB3"
"105","hsa","5332","path:hsa04062","Chemokine signaling pathway","PLCB4"
"106","hsa","5335","path:hsa04062","Chemokine signaling pathway","PLCG1"
"107","hsa","53358","path:hsa04062","Chemokine signaling pathway","SHC3"
"108","hsa","5336","path:hsa04062","Chemokine signaling pathway","PLCG2"
"109","hsa","54331","path:hsa04062","Chemokine signaling pathway","GNG2"
"110","hsa","5473","path:hsa04062","Chemokine signaling pathway","PPBP"
"111","hsa","5566","path:hsa04062","Chemokine signaling pathway","PRKACA"
"112","hsa","5567","path:hsa04062","Chemokine signaling pathway","PRKACB"
"113","hsa","5568","path:hsa04062","Chemokine signaling pathway","PRKACG"
"114","hsa","5579","path:hsa04062","Chemokine signaling pathway","PRKCB"
"115","hsa","5580","path:hsa04062","Chemokine signaling pathway","PRKCD"
"116","hsa","5590","path:hsa04062","Chemokine signaling pathway","PRKCZ"
"117","hsa","5594","path:hsa04062","Chemokine signaling pathway","MAPK1"
"118","hsa","5595","path:hsa04062","Chemokine signaling pathway","MAPK3"
"119","hsa","55970","path:hsa04062","Chemokine signaling pathway","GNG12"
"120","hsa","5604","path:hsa04062","Chemokine signaling pathway","MAP2K1"
"121","hsa","56288","path:hsa04062","Chemokine signaling pathway","PARD3"
"122","hsa","56477","path:hsa04062","Chemokine signaling pathway","CCL28"
"123","hsa","572","path:hsa04062","Chemokine signaling pathway","BAD"
"124","hsa","5747","path:hsa04062","Chemokine signaling pathway","PTK2"
"125","hsa","57580","path:hsa04062","Chemokine signaling pathway","PREX1"
"126","hsa","58191","path:hsa04062","Chemokine signaling pathway","CXCL16"
"127","hsa","5829","path:hsa04062","Chemokine signaling pathway","PXN"
"128","hsa","5879","path:hsa04062","Chemokine signaling pathway","RAC1"
"129","hsa","5880","path:hsa04062","Chemokine signaling pathway","RAC2"
"130","hsa","5881","path:hsa04062","Chemokine signaling pathway","RAC3"
"131","hsa","5894","path:hsa04062","Chemokine signaling pathway","RAF1"
"132","hsa","5906","path:hsa04062","Chemokine signaling pathway","RAP1A"
"133","hsa","5908","path:hsa04062","Chemokine signaling pathway","RAP1B"
"134","hsa","59345","path:hsa04062","Chemokine signaling pathway","GNB4"
"135","hsa","5970","path:hsa04062","Chemokine signaling pathway","RELA"
"136","hsa","6011","path:hsa04062","Chemokine signaling pathway","GRK1"
"137","hsa","6093","path:hsa04062","Chemokine signaling pathway","ROCK1"
"138","hsa","6346","path:hsa04062","Chemokine signaling pathway","CCL1"
"139","hsa","6347","path:hsa04062","Chemokine signaling pathway","CCL2"
"140","hsa","6348","path:hsa04062","Chemokine signaling pathway","CCL3"
"141","hsa","6349","path:hsa04062","Chemokine signaling pathway","CCL3L1"
"142","hsa","6351","path:hsa04062","Chemokine signaling pathway","CCL4"
"143","hsa","6352","path:hsa04062","Chemokine signaling pathway","CCL5"
"144","hsa","6354","path:hsa04062","Chemokine signaling pathway","CCL7"
"145","hsa","6355","path:hsa04062","Chemokine signaling pathway","CCL8"
"146","hsa","6356","path:hsa04062","Chemokine signaling pathway","CCL11"
"147","hsa","6357","path:hsa04062","Chemokine signaling pathway","CCL13"
"148","hsa","6358","path:hsa04062","Chemokine signaling pathway","CCL14"
"149","hsa","6359","path:hsa04062","Chemokine signaling pathway","CCL15"
"150","hsa","6360","path:hsa04062","Chemokine signaling pathway","CCL16"
"151","hsa","6361","path:hsa04062","Chemokine signaling pathway","CCL17"
"152","hsa","6362","path:hsa04062","Chemokine signaling pathway","CCL18"
"153","hsa","6363","path:hsa04062","Chemokine signaling pathway","CCL19"
"154","hsa","6364","path:hsa04062","Chemokine signaling pathway","CCL20"
"155","hsa","6366","path:hsa04062","Chemokine signaling pathway","CCL21"
"156","hsa","6367","path:hsa04062","Chemokine signaling pathway","CCL22"
"157","hsa","6368","path:hsa04062","Chemokine signaling pathway","CCL23"
"158","hsa","6369","path:hsa04062","Chemokine signaling pathway","CCL24"
"159","hsa","6370","path:hsa04062","Chemokine signaling pathway","CCL25"
"160","hsa","6372","path:hsa04062","Chemokine signaling pathway","CXCL6"
"161","hsa","6373","path:hsa04062","Chemokine signaling pathway","CXCL11"
"162","hsa","6374","path:hsa04062","Chemokine signaling pathway","CXCL5"
"163","hsa","6375","path:hsa04062","Chemokine signaling pathway","XCL1"
"164","hsa","6376","path:hsa04062","Chemokine signaling pathway","CX3CL1"
"165","hsa","6387","path:hsa04062","Chemokine signaling pathway","CXCL12"
"166","hsa","643","path:hsa04062","Chemokine signaling pathway","CXCR5"
"167","hsa","6464","path:hsa04062","Chemokine signaling pathway","SHC1"
"168","hsa","653361","path:hsa04062","Chemokine signaling pathway","NCF1"
"169","hsa","6654","path:hsa04062","Chemokine signaling pathway","SOS1"
"170","hsa","6655","path:hsa04062","Chemokine signaling pathway","SOS2"
"171","hsa","6714","path:hsa04062","Chemokine signaling pathway","SRC"
"172","hsa","673","path:hsa04062","Chemokine signaling pathway","BRAF"
"173","hsa","6772","path:hsa04062","Chemokine signaling pathway","STAT1"
"174","hsa","6773","path:hsa04062","Chemokine signaling pathway","STAT2"
"175","hsa","6774","path:hsa04062","Chemokine signaling pathway","STAT3"
"176","hsa","6777","path:hsa04062","Chemokine signaling pathway","STAT5B"
"177","hsa","6846","path:hsa04062","Chemokine signaling pathway","XCL2"
"178","hsa","7074","path:hsa04062","Chemokine signaling pathway","TIAM1"
"179","hsa","729230","path:hsa04062","Chemokine signaling pathway","CCR2"
"180","hsa","7409","path:hsa04062","Chemokine signaling pathway","VAV1"
"181","hsa","7410","path:hsa04062","Chemokine signaling pathway","VAV2"
"182","hsa","7454","path:hsa04062","Chemokine signaling pathway","WAS"
"183","hsa","7852","path:hsa04062","Chemokine signaling pathway","CXCR4"
"184","hsa","8503","path:hsa04062","Chemokine signaling pathway","PIK3R3"
"185","hsa","8517","path:hsa04062","Chemokine signaling pathway","IKBKG"
"186","hsa","94235","path:hsa04062","Chemokine signaling pathway","GNG8"
"187","hsa","9475","path:hsa04062","Chemokine signaling pathway","ROCK2"
"188","hsa","9547","path:hsa04062","Chemokine signaling pathway","CXCL14"
"189","hsa","9560","path:hsa04062","Chemokine signaling pathway","CCL4L2"
"190","hsa","9564","path:hsa04062","Chemokine signaling pathway","BCAR1"
"191","hsa","9844","path:hsa04062","Chemokine signaling pathway","ELMO1"
"192","hsa","998","path:hsa04062","Chemokine signaling pathway","CDC42"
"193","hsa","10544","path:hsa04610","Complement and coagulation cascades","PROCR"
"194","hsa","10747","path:hsa04610","Complement and coagulation cascades","MASP2"
"195","hsa","10877","path:hsa04610","Complement and coagulation cascades","CFHR4"
"196","hsa","10878","path:hsa04610","Complement and coagulation cascades","CFHR3"
"197","hsa","11326","path:hsa04610","Complement and coagulation cascades","VSIG4"
"198","hsa","1191","path:hsa04610","Complement and coagulation cascades","CLU"
"199","hsa","1361","path:hsa04610","Complement and coagulation cascades","CPB2"
"200","hsa","1378","path:hsa04610","Complement and coagulation cascades","CR1"
"201","hsa","1379","path:hsa04610","Complement and coagulation cascades","CR1L"
"202","hsa","1380","path:hsa04610","Complement and coagulation cascades","CR2"
"203","hsa","1604","path:hsa04610","Complement and coagulation cascades","CD55"
"204","hsa","1675","path:hsa04610","Complement and coagulation cascades","CFD"
"205","hsa","2","path:hsa04610","Complement and coagulation cascades","A2M"
"206","hsa","2147","path:hsa04610","Complement and coagulation cascades","F2"
"207","hsa","2149","path:hsa04610","Complement and coagulation cascades","F2R"
"208","hsa","2151","path:hsa04610","Complement and coagulation cascades","F2RL2"
"209","hsa","2152","path:hsa04610","Complement and coagulation cascades","F3"
"210","hsa","2153","path:hsa04610","Complement and coagulation cascades","F5"
"211","hsa","2155","path:hsa04610","Complement and coagulation cascades","F7"
"212","hsa","2157","path:hsa04610","Complement and coagulation cascades","F8"
"213","hsa","2158","path:hsa04610","Complement and coagulation cascades","F9"
"214","hsa","2159","path:hsa04610","Complement and coagulation cascades","F10"
"215","hsa","2160","path:hsa04610","Complement and coagulation cascades","F11"
"216","hsa","2161","path:hsa04610","Complement and coagulation cascades","F12"
"217","hsa","2162","path:hsa04610","Complement and coagulation cascades","F13A1"
"218","hsa","2165","path:hsa04610","Complement and coagulation cascades","F13B"
"219","hsa","2243","path:hsa04610","Complement and coagulation cascades","FGA"
"220","hsa","2244","path:hsa04610","Complement and coagulation cascades","FGB"
"221","hsa","2266","path:hsa04610","Complement and coagulation cascades","FGG"
"222","hsa","3053","path:hsa04610","Complement and coagulation cascades","SERPIND1"
"223","hsa","3075","path:hsa04610","Complement and coagulation cascades","CFH"
"224","hsa","3078","path:hsa04610","Complement and coagulation cascades","CFHR1"
"225","hsa","3080","path:hsa04610","Complement and coagulation cascades","CFHR2"
"226","hsa","3426","path:hsa04610","Complement and coagulation cascades","CFI"
"227","hsa","3684","path:hsa04610","Complement and coagulation cascades","ITGAM"
"228","hsa","3687","path:hsa04610","Complement and coagulation cascades","ITGAX"
"229","hsa","3689","path:hsa04610","Complement and coagulation cascades","ITGB2"
"230","hsa","3818","path:hsa04610","Complement and coagulation cascades","KLKB1"
"231","hsa","3827","path:hsa04610","Complement and coagulation cascades","KNG1"
"232","hsa","4153","path:hsa04610","Complement and coagulation cascades","MBL2"
"233","hsa","4179","path:hsa04610","Complement and coagulation cascades","CD46"
"234","hsa","462","path:hsa04610","Complement and coagulation cascades","SERPINC1"
"235","hsa","5054","path:hsa04610","Complement and coagulation cascades","SERPINE1"
"236","hsa","5055","path:hsa04610","Complement and coagulation cascades","SERPINB2"
"237","hsa","5104","path:hsa04610","Complement and coagulation cascades","SERPINA5"
"238","hsa","5265","path:hsa04610","Complement and coagulation cascades","SERPINA1"
"239","hsa","5270","path:hsa04610","Complement and coagulation cascades","SERPINE2"
"240","hsa","5327","path:hsa04610","Complement and coagulation cascades","PLAT"
"241","hsa","5328","path:hsa04610","Complement and coagulation cascades","PLAU"
"242","hsa","5329","path:hsa04610","Complement and coagulation cascades","PLAUR"
"243","hsa","5340","path:hsa04610","Complement and coagulation cascades","PLG"
"244","hsa","5345","path:hsa04610","Complement and coagulation cascades","SERPINF2"
"245","hsa","5624","path:hsa04610","Complement and coagulation cascades","PROC"
"246","hsa","5627","path:hsa04610","Complement and coagulation cascades","PROS1"
"247","hsa","5648","path:hsa04610","Complement and coagulation cascades","MASP1"
"248","hsa","623","path:hsa04610","Complement and coagulation cascades","BDKRB1"
"249","hsa","624","path:hsa04610","Complement and coagulation cascades","BDKRB2"
"250","hsa","629","path:hsa04610","Complement and coagulation cascades","CFB"
"251","hsa","7035","path:hsa04610","Complement and coagulation cascades","TFPI"
"252","hsa","7056","path:hsa04610","Complement and coagulation cascades","THBD"
"253","hsa","710","path:hsa04610","Complement and coagulation cascades","SERPING1"
"254","hsa","712","path:hsa04610","Complement and coagulation cascades","C1QA"
"255","hsa","713","path:hsa04610","Complement and coagulation cascades","C1QB"
"256","hsa","714","path:hsa04610","Complement and coagulation cascades","C1QC"
"257","hsa","715","path:hsa04610","Complement and coagulation cascades","C1R"
"258","hsa","716","path:hsa04610","Complement and coagulation cascades","C1S"
"259","hsa","717","path:hsa04610","Complement and coagulation cascades","C2"
"260","hsa","718","path:hsa04610","Complement and coagulation cascades","C3"
"261","hsa","719","path:hsa04610","Complement and coagulation cascades","C3AR1"
"262","hsa","720","path:hsa04610","Complement and coagulation cascades","C4A"
"263","hsa","721","path:hsa04610","Complement and coagulation cascades","C4B"
"264","hsa","722","path:hsa04610","Complement and coagulation cascades","C4BPA"
"265","hsa","725","path:hsa04610","Complement and coagulation cascades","C4BPB"
"266","hsa","727","path:hsa04610","Complement and coagulation cascades","C5"
"267","hsa","728","path:hsa04610","Complement and coagulation cascades","C5AR1"
"268","hsa","729","path:hsa04610","Complement and coagulation cascades","C6"
"269","hsa","730","path:hsa04610","Complement and coagulation cascades","C7"
"270","hsa","731","path:hsa04610","Complement and coagulation cascades","C8A"
"271","hsa","732","path:hsa04610","Complement and coagulation cascades","C8B"
"272","hsa","733","path:hsa04610","Complement and coagulation cascades","C8G"
"273","hsa","735","path:hsa04610","Complement and coagulation cascades","C9"
"274","hsa","7448","path:hsa04610","Complement and coagulation cascades","VTN"
"275","hsa","7450","path:hsa04610","Complement and coagulation cascades","VWF"
"276","hsa","81494","path:hsa04610","Complement and coagulation cascades","CFHR5"
"277","hsa","9002","path:hsa04610","Complement and coagulation cascades","F2RL3"
"278","hsa","966","path:hsa04610","Complement and coagulation cascades","CD59"
"279","hsa","10000","path:hsa04611","Platelet activation","AKT3"
"280","hsa","100137049","path:hsa04611","Platelet activation","PLA2G4B"
"281","hsa","10125","path:hsa04611","Platelet activation","RASGRP1"
"282","hsa","10235","path:hsa04611","Platelet activation","RASGRP2"
"283","hsa","103910","path:hsa04611","Platelet activation","MYL12B"
"284","hsa","10627","path:hsa04611","Platelet activation","MYL12A"
"285","hsa","10672","path:hsa04611","Platelet activation","GNA13"
"286","hsa","107","path:hsa04611","Platelet activation","ADCY1"
"287","hsa","108","path:hsa04611","Platelet activation","ADCY2"
"288","hsa","109","path:hsa04611","Platelet activation","ADCY3"
"289","hsa","111","path:hsa04611","Platelet activation","ADCY5"
"290","hsa","112","path:hsa04611","Platelet activation","ADCY6"
"291","hsa","113","path:hsa04611","Platelet activation","ADCY7"
"292","hsa","114","path:hsa04611","Platelet activation","ADCY8"
"293","hsa","115","path:hsa04611","Platelet activation","ADCY9"
"294","hsa","123745","path:hsa04611","Platelet activation","PLA2G4E"
"295","hsa","1277","path:hsa04611","Platelet activation","COL1A1"
"296","hsa","1278","path:hsa04611","Platelet activation","COL1A2"
"297","hsa","1281","path:hsa04611","Platelet activation","COL3A1"
"298","hsa","1432","path:hsa04611","Platelet activation","MAPK14"
"299","hsa","146850","path:hsa04611","Platelet activation","PIK3R6"
"300","hsa","196883","path:hsa04611","Platelet activation","ADCY4"
"301","hsa","207","path:hsa04611","Platelet activation","AKT1"
"302","hsa","208","path:hsa04611","Platelet activation","AKT2"
"303","hsa","2147","path:hsa04611","Platelet activation","F2"
"304","hsa","2149","path:hsa04611","Platelet activation","F2R"
"305","hsa","2207","path:hsa04611","Platelet activation","FCER1G"
"306","hsa","2212","path:hsa04611","Platelet activation","FCGR2A"
"307","hsa","2243","path:hsa04611","Platelet activation","FGA"
"308","hsa","2244","path:hsa04611","Platelet activation","FGB"
"309","hsa","2266","path:hsa04611","Platelet activation","FGG"
"310","hsa","23236","path:hsa04611","Platelet activation","PLCB1"
"311","hsa","23365","path:hsa04611","Platelet activation","ARHGEF12"
"312","hsa","23533","path:hsa04611","Platelet activation","PIK3R5"
"313","hsa","2534","path:hsa04611","Platelet activation","FYN"
"314","hsa","255189","path:hsa04611","Platelet activation","PLA2G4F"
"315","hsa","2770","path:hsa04611","Platelet activation","GNAI1"
"316","hsa","2771","path:hsa04611","Platelet activation","GNAI2"
"317","hsa","2773","path:hsa04611","Platelet activation","GNAI3"
"318","hsa","2776","path:hsa04611","Platelet activation","GNAQ"
"319","hsa","2778","path:hsa04611","Platelet activation","GNAS"
"320","hsa","2811","path:hsa04611","Platelet activation","GP1BA"
"321","hsa","2812","path:hsa04611","Platelet activation","GP1BB"
"322","hsa","2814","path:hsa04611","Platelet activation","GP5"
"323","hsa","2815","path:hsa04611","Platelet activation","GP9"
"324","hsa","283748","path:hsa04611","Platelet activation","PLA2G4D"
"325","hsa","2909","path:hsa04611","Platelet activation","ARHGAP35"
"326","hsa","2977","path:hsa04611","Platelet activation","GUCY1A2"
"327","hsa","2982","path:hsa04611","Platelet activation","GUCY1A1"
"328","hsa","2983","path:hsa04611","Platelet activation","GUCY1B1"
"329","hsa","340156","path:hsa04611","Platelet activation","MYLK4"
"330","hsa","3673","path:hsa04611","Platelet activation","ITGA2"
"331","hsa","3674","path:hsa04611","Platelet activation","ITGA2B"
"332","hsa","3688","path:hsa04611","Platelet activation","ITGB1"
"333","hsa","3690","path:hsa04611","Platelet activation","ITGB3"
"334","hsa","3708","path:hsa04611","Platelet activation","ITPR1"
"335","hsa","3709","path:hsa04611","Platelet activation","ITPR2"
"336","hsa","3710","path:hsa04611","Platelet activation","ITPR3"
"337","hsa","387","path:hsa04611","Platelet activation","RHOA"
"338","hsa","3937","path:hsa04611","Platelet activation","LCP2"
"339","hsa","4067","path:hsa04611","Platelet activation","LYN"
"340","hsa","4638","path:hsa04611","Platelet activation","MYLK"
"341","hsa","4659","path:hsa04611","Platelet activation","PPP1R12A"
"342","hsa","4846","path:hsa04611","Platelet activation","NOS3"
"343","hsa","5023","path:hsa04611","Platelet activation","P2RX1"
"344","hsa","5028","path:hsa04611","Platelet activation","P2RY1"
"345","hsa","51206","path:hsa04611","Platelet activation","GP6"
"346","hsa","5290","path:hsa04611","Platelet activation","PIK3CA"
"347","hsa","5291","path:hsa04611","Platelet activation","PIK3CB"
"348","hsa","5293","path:hsa04611","Platelet activation","PIK3CD"
"349","hsa","5294","path:hsa04611","Platelet activation","PIK3CG"
"350","hsa","5295","path:hsa04611","Platelet activation","PIK3R1"
"351","hsa","5296","path:hsa04611","Platelet activation","PIK3R2"
"352","hsa","5321","path:hsa04611","Platelet activation","PLA2G4A"
"353","hsa","5330","path:hsa04611","Platelet activation","PLCB2"
"354","hsa","5331","path:hsa04611","Platelet activation","PLCB3"
"355","hsa","5332","path:hsa04611","Platelet activation","PLCB4"
"356","hsa","5336","path:hsa04611","Platelet activation","PLCG2"
"357","hsa","54518","path:hsa04611","Platelet activation","APBB1IP"
"358","hsa","5499","path:hsa04611","Platelet activation","PPP1CA"
"359","hsa","5500","path:hsa04611","Platelet activation","PPP1CB"
"360","hsa","5501","path:hsa04611","Platelet activation","PPP1CC"
"361","hsa","5566","path:hsa04611","Platelet activation","PRKACA"
"362","hsa","5567","path:hsa04611","Platelet activation","PRKACB"
"363","hsa","5568","path:hsa04611","Platelet activation","PRKACG"
"364","hsa","5584","path:hsa04611","Platelet activation","PRKCI"
"365","hsa","5590","path:hsa04611","Platelet activation","PRKCZ"
"366","hsa","5592","path:hsa04611","Platelet activation","PRKG1"
"367","hsa","5593","path:hsa04611","Platelet activation","PRKG2"
"368","hsa","5594","path:hsa04611","Platelet activation","MAPK1"
"369","hsa","5595","path:hsa04611","Platelet activation","MAPK3"
"370","hsa","5600","path:hsa04611","Platelet activation","MAPK11"
"371","hsa","5603","path:hsa04611","Platelet activation","MAPK13"
"372","hsa","5739","path:hsa04611","Platelet activation","PTGIR"
"373","hsa","5742","path:hsa04611","Platelet activation","PTGS1"
"374","hsa","5906","path:hsa04611","Platelet activation","RAP1A"
"375","hsa","5908","path:hsa04611","Platelet activation","RAP1B"
"376","hsa","60","path:hsa04611","Platelet activation","ACTB"
"377","hsa","6093","path:hsa04611","Platelet activation","ROCK1"
"378","hsa","6300","path:hsa04611","Platelet activation","MAPK12"
"379","hsa","64805","path:hsa04611","Platelet activation","P2RY12"
"380","hsa","6714","path:hsa04611","Platelet activation","SRC"
"381","hsa","6786","path:hsa04611","Platelet activation","STIM1"
"382","hsa","6850","path:hsa04611","Platelet activation","SYK"
"383","hsa","6915","path:hsa04611","Platelet activation","TBXA2R"
"384","hsa","6916","path:hsa04611","Platelet activation","TBXAS1"
"385","hsa","695","path:hsa04611","Platelet activation","BTK"
"386","hsa","7094","path:hsa04611","Platelet activation","TLN1"
"387","hsa","71","path:hsa04611","Platelet activation","ACTG1"
"388","hsa","7408","path:hsa04611","Platelet activation","VASP"
"389","hsa","7450","path:hsa04611","Platelet activation","VWF"
"390","hsa","83660","path:hsa04611","Platelet activation","TLN2"
"391","hsa","83706","path:hsa04611","Platelet activation","FERMT3"
"392","hsa","84876","path:hsa04611","Platelet activation","ORAI1"
"393","hsa","8503","path:hsa04611","Platelet activation","PIK3R3"
"394","hsa","85366","path:hsa04611","Platelet activation","MYLK2"
"395","hsa","8605","path:hsa04611","Platelet activation","PLA2G4C"
"396","hsa","8673","path:hsa04611","Platelet activation","VAMP8"
"397","hsa","8681","path:hsa04611","Platelet activation","JMJD7-PLA2G4B"
"398","hsa","8773","path:hsa04611","Platelet activation","SNAP23"
"399","hsa","9002","path:hsa04611","Platelet activation","F2RL3"
"400","hsa","9138","path:hsa04611","Platelet activation","ARHGEF1"
